month_formatted,max_total_games,faction,tournament_game,total_games,total_wins,win_rate,weighted_win_rate,weighted_win_rate_delta,monthly_rank,rank_change
2024-07,24,Kharadron Overlords,1,5,3,0.6,0.6,,6,
2024-07,24,Maggotkin Of Nurgle,1,6,0,0,0,,18,
2024-08,60,Maggotkin Of Nurgle,1,17,4,0.23529411764705882,0.23529411764705882,0.23529411764705882,24,-6
2024-08,60,Kharadron Overlords,1,13,2,0.15384615384615385,0.15384615384615385,-0.4461538461538461,25,-19
2024-09,92,Maggotkin Of Nurgle,1,45,21,0.4666666666666667,0.4666666666666667,0.23137254901960785,15,9
2024-09,92,Kharadron Overlords,1,3,3,1,0.3058497366056642,0.15200358275951037,23,2
2024-10,92,Kharadron Overlords,1,13,7,0.5384615384615384,0.5384615384615384,0.2326118018558742,9,14
2024-10,92,Maggotkin Of Nurgle,1,42,12,0.2857142857142857,0.2857142857142857,-0.18095238095238098,26,-11
2024-11,120,Kharadron Overlords,1,24,9,0.375,0.375,-0.16346153846153844,18,-9
2024-11,120,Maggotkin Of Nurgle,1,26,9,0.34615384615384615,0.34615384615384615,0.06043956043956045,21,5
2024-12,106,Kharadron Overlords,1,31,13,0.41935483870967744,0.41935483870967744,0.044354838709677435,18,0
2024-12,106,Maggotkin Of Nurgle,1,59,24,0.4067796610169492,0.4067796610169492,0.060625814863103034,20,1
